system,composite,coverage,interpolation,extrapolation,event_calibration,counterfactual,long_horizon,planning
persistence,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,
ar,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,
linear,0.10965342976819885,0.8333333333333334,0.03120895175409122,0.0,0.0,0.517058197086903,0.0,
gbdt,0.2401897102847829,0.8333333333333334,0.2140001167888359,0.2901400765126077,0.6250161732292676,0.0,0.07179218489320331,
mlp,0.024454083952383722,0.8333333333333334,0.10377971642348516,0.018490703338433452,0.0,0.0,0.0,
transformer,0.03348284797705756,0.8333333333333334,0.15772536113642144,0.0,0.0,0.009688878748866356,0.0,
gnn,0.04086142584298032,0.8333333333333334,0.14512020986733454,0.05918691934756702,0.0,0.0,0.0,
obsspace,0.0011807571662621364,0.8333333333333334,0.005903785831310682,0.0,0.0,0.0,0.0,
wm_rssm,0.023963454824772353,1.0,0.0,0.0,0.0,0.1437807289486341,0.0,0.0
wm_jepa,0.02303286175530459,0.8333333333333334,0.0,0.0,0.11516430877652295,0.0,0.0,
wm_transformer,0.041076154499179375,0.8333333333333334,0.08894566123965841,0.0,0.11643511125623845,0.0,0.0,
wm_graph,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,
wm_rssm_1step,0.0015750481432609807,0.8333333333333334,0.0,0.006649423204318875,0.0,0.001225817511986027,0.0,
policy:noop,0.0,0.16666666666666666,,,,,,0.0
policy:random,0.0,0.16666666666666666,,,,,,0.0
policy:buy_and_hold,0.0,0.16666666666666666,,,,,,0.0
policy:memory_only,0.0,0.16666666666666666,,,,,,0.0
policy:llm,0.0,0.16666666666666666,,,,,,0.0
policy:planner_no_model,0.0,0.16666666666666666,,,,,,0.0
policy:wm_greedy,0.023963454824772353,1.0,0.0,0.0,0.0,0.1437807289486341,0.0,0.0
policy:wm_plan,0.023963454824772353,1.0,0.0,0.0,0.0,0.1437807289486341,0.0,0.0
policy:wm_plan_memory,0.023963454824772353,1.0,0.0,0.0,0.0,0.1437807289486341,0.0,0.0
policy:unified,0.023963454824772353,1.0,0.0,0.0,0.0,0.1437807289486341,0.0,0.0
policy:unified_no_memory,0.023963454824772353,1.0,0.0,0.0,0.0,0.1437807289486341,0.0,0.0
policy:unified_no_rollout,0.023963454824772353,1.0,0.0,0.0,0.0,0.1437807289486341,0.0,0.0
policy:oracle_plan,1.0,0.16666666666666666,,,,,,1.0
