policy,ret@iid,ret@liquidity_crisis,ret@unseen_agents,ret@novel_mechanism,ret@shock_storm,return_mean,sharpe_mean,max_drawdown_mean
noop,0.02014003499164563,-0.010544963109188487,0.0029993595004296943,0.0026496080328938833,-0.0035268593550925346,0.0023434360121376376,0.007706988712569805,0.06724533596003905
random,-0.0008611611914085486,-0.06338868770916618,-0.047512709651148434,-0.08803093840196138,-0.09242370024721588,-0.05844343944018009,-0.05226025143298278,0.11993220837821834
buy_and_hold,0.025882697214452577,-0.015684668825269345,0.0019947523644557874,-0.04494981645170683,-0.005074453940782328,-0.007566297927770027,-0.0070638664605977165,0.08197931915244946
memory_only,0.007978211562978359,-0.06116922213550873,-0.06988943545591675,-0.03997366232200875,-0.038707519483998386,-0.04035232556689085,-0.04391609614973106,0.11102655574697658
llm,-0.0791356205631815,-0.5759187325613144,-0.18771886410688227,-0.12448433898982368,-0.1254345608600318,-0.2185384234162467,-0.1487896380929452,0.31020185812589995
planner_no_model,-0.03816950787705964,-0.215042494093675,-0.07112913844980889,0.01149074716978074,-0.062053083914688986,-0.07498069543309036,-0.07603117125798588,0.1841926077295994
wm_greedy,0.026623109045089955,0.06651203971235206,-0.13449401300190705,-0.015285718585218048,-0.15413338339325333,-0.042155593244587286,-0.06846291293128916,0.11545682261109214
wm_plan,-0.021129141798398504,0.03431523633401189,-0.134355262596696,-0.07050522380317414,-0.06855950401002583,-0.05204677917485652,-0.09593504963306866,0.1264125481054344
wm_plan_memory,-0.010702453297412496,0.034395835044280065,-0.1377674692150376,-0.07038546612797204,-0.10118983979253582,-0.05712987867773558,-0.0978919913073199,0.1274317379708796
unified,-0.07405429892555765,-0.3052284586346773,-0.05997932392832408,-0.06115973463516056,-0.15234634369173064,-0.13055363196309006,-0.10158195134655856,0.24061982541405375
unified_no_memory,-0.038702599562017784,-0.10126395045233649,-0.12295633349109726,-0.11211105906934951,-0.0353600989597522,-0.08207880830691065,-0.0908224043526508,0.14702852379159856
unified_no_rollout,-0.06281975262816135,-0.37117389955385605,-0.13710057849127308,-0.14248663807274328,-0.12657933194196347,-0.16803204013759945,-0.13466940287509616,0.2552926140404029
oracle_plan,0.20506269929942803,0.4443153055843525,0.12856282370835156,0.08656655958670484,0.09334786459720318,0.19157105055520804,0.1437770447253837,0.06754413483619845
