model,cf_skill@iid:substitute,cf_skill@iid:removal,cf_skill@liquidity_crisis:substitute,cf_skill@liquidity_crisis:removal,cf_skill@unseen_agents:substitute,cf_skill@unseen_agents:removal,cf_skill@novel_mechanism:substitute,cf_skill@novel_mechanism:removal,cf_skill_mean,sign_acc_material_mean
persistence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
linear,0.5521326552173897,0.49371850436695586,0.34761663678867094,0.3744142177474441,0.5929504617686301,0.5112698604363377,0.6170257454297037,0.6473374949400924,0.517058197086903,0.6362484467523323
gbdt,-2.2440703650633216,-1.9776451507360715,-0.7406619762717666,-0.30841417146670613,-1.695165255194444,-0.4369891057634332,-0.4857284946362215,-1.5392238113445114,-1.1784872913095594,0.018566749791084806
mlp,-0.00508849855608795,-0.03127331608830919,-0.3610621312169502,-1.1760330722534693,6.7611858729499374e-06,3.409381481378482e-05,-0.030666677763654393,-0.09241468220351212,-0.21206219038516205,0.5762499769413327
transformer,0.05798158597325742,0.04999004420024222,0.023979388687199954,0.01220925864257072,0.0008167186694181261,0.0017119514605096198,-0.1016387932755447,0.032460875633277486,0.009688878748866356,0.5869607719352545
gnn,0.03156494690174272,0.003689435185989298,-0.06734213157728797,-0.1618789751082954,0.0002855175480062089,0.000256808503249939,-0.06176648008145791,-0.016619955231215844,-0.03397635423240862,0.5833224546885571
obsspace,-0.013435178522467783,-0.040541770939415134,-0.019999459493545535,-0.08264311389756274,1.8735816274317862e-05,4.7826045780463566e-05,-0.044325777614768525,-0.04374877545170541,-0.030578439257176293,0.540616369342225
wm_rssm,0.169419518132233,0.17567513041220517,0.09723451674218742,0.06590215204479444,0.07514740403453812,-0.008488807442553536,0.3304499216693275,0.24490599599634078,0.1437807289486341,0.5989864887647811
wm_jepa,-0.022827973082321318,-0.055546169911731,-0.044828308124712946,-0.08476983760508028,-0.3090028937060936,-0.5902466434954998,-0.031681026054853234,-0.01394212042431997,-0.14410562155057652,0.5064159036904787
wm_transformer,0.008654380059894717,-0.018835408262348974,-0.017104218652877812,-0.08080597810006895,-1.2542925995236378,-0.7709332866121796,0.0028036235617476812,0.008812149576557626,-0.26521266724411413,0.6107771639903159
wm_graph,0.28485716811412043,0.3081360813094991,-0.4447596277712216,-1.258921112196603,-7.273599613814097,-16.499267930031916,0.4303013208417734,0.26776953038602125,-3.023185522895303,0.5915946874140923
wm_rssm_1step,0.041321745523807074,0.022821587682526623,0.006725990252866909,-0.3108393392748532,-0.019929857991473288,0.08947400820145657,0.09077043383939776,0.08946197186215976,0.001225817511986027,0.6036184722209476
