comparison,mean_diff,ci_lo,ci_hi,p_value,n_pairs
wm_plan - llm,0.16649164424139018,0.033844294233875576,0.30447083381250345,0.0278167724609375,20
unified - wm_plan,-0.07850685278823352,-0.201298783936126,0.03237383055331501,0.22240257263183594,20
unified - llm,0.08798479145315671,0.0043482842406646904,0.18377012170841175,0.07612228393554688,20
wm_plan - wm_greedy,-0.009891185930269244,-0.04815967554784501,0.027791625026140743,0.6273422241210938,20
wm_plan_memory - wm_plan,-0.0050830995028790515,-0.022412388331168136,0.009749538672183975,0.579345703125,20
unified - unified_no_memory,-0.0484748236561794,-0.1553913464326178,0.056347456904938684,0.40045738220214844,20
unified - unified_no_rollout,0.037478408174509405,-0.011164637400453599,0.08947457796800438,0.18048858642578125,20
oracle_plan - wm_plan,0.24361782973006454,0.1794246731084574,0.31820041007795696,1.9073486328125e-06,20
planner_no_model - wm_plan,-0.022933916258233832,-0.1222488557074755,0.07153557422555816,0.6606006622314453,20
wm_plan - buy_and_hold,-0.0444804812470865,-0.08609231881405209,-0.003943890428851875,0.04987144470214844,20
llm - noop,-0.2208818594283844,-0.34073553311584465,-0.10072597233456897,0.0022411346435546875,20
