policy,mean_diff,ci_lo,ci_hi,p_value,significant_05,n_pairs
oracle_plan,0.18922761454307033,0.1144261351956155,0.2873482816128559,1.9073486328125e-05,True,20
buy_and_hold,-0.009909733939907664,-0.023721121381974936,0.003826959378428703,0.1862030029296875,False,20
memory_only,-0.042695761579028484,-0.07164891243451961,-0.01627133667288911,0.007236480712890625,True,20
wm_greedy,-0.04449902925672493,-0.09827116879846402,0.008416407821530797,0.1258373260498047,False,20
wm_plan,-0.05439021518699416,-0.09418753375114561,-0.016049523820102947,0.013669967651367188,True,20
wm_plan_memory,-0.05947331468987321,-0.10378380521653748,-0.0170782546278571,0.015789031982421875,True,20
random,-0.060786875452317715,-0.08839838105405072,-0.03443738644692818,0.000316619873046875,True,20
planner_no_model,-0.07732413144522798,-0.16484945569619444,0.007453762381962838,0.10376548767089844,False,20
unified_no_memory,-0.0844222443190483,-0.12210557013375817,-0.03709621394833921,0.00151824951171875,True,20
unified,-0.13289706797522766,-0.24383087780165918,-0.030147280639468258,0.024707794189453125,True,20
unified_no_rollout,-0.17037547614973708,-0.2791470069851581,-0.0649975105461031,0.005756378173828125,True,20
llm,-0.2208818594283844,-0.34073553311584465,-0.10072597233456897,0.0022411346435546875,True,20
